#,Simulation (title),Play URL (jsfiddle),Collection,Description
72,Moving Charges (Biot Savart Law),https://jsfiddle.net/Chenopdodium/1er29qy4/show/,Charge & Electromagnetism,Moving Charges (Biot Savart Law)
73,Moving Volume Eigenstrain (jello),https://jsfiddle.net/Chenopdodium/7wkyghrc/show/,Charge & Electromagnetism,Moving Volume Eigenstrain (jello)
74,Newton's Cradle,https://jsfiddle.net/Chenopdodium/87ygb9vo/show/,Charge & Electromagnetism,Newton's Cradle
75,Retarded Oscillating Current,https://jsfiddle.net/Chenopdodium/06j3eLwg/show/,Charge & Electromagnetism,Oscillating current / radiation
76,Scalar Potential,https://jsfiddle.net/Chenopdodium/btkvyu8g/show/,Charge & Electromagnetism,Scalar Potential
77,Spherical Scalar and Vector Harmonics (With Spin 1/2 and Charge) 2,https://jsfiddle.net/Chenopdodium/r6fpyd4e/show/,Charge & Electromagnetism,Spherical Scalar and Vector Harmonics (With Spin 1/2 and Charge) 2
78,"Spherical Standing waves passing (""charge"" model)",https://jsfiddle.net/Chenopdodium/cqLebyxh/show/,Charge & Electromagnetism,"Spherical Standing waves passing (""charge"" model)"
79,Static Energy Flow (Lorentz),https://jsfiddle.net/Chenopdodium/93ry2two/show/,Charge & Electromagnetism,Static energy flow
80,"Two Eigenstrains (2D, bulge)",https://jsfiddle.net/Chenopdodium/jrxy7291/show/,Charge & Electromagnetism,"Gauss-law intuition | Two Eigenstrains (2D, bulge)"
81,Two component w field (charge),https://jsfiddle.net/Chenopdodium/9cngk14q/show/,Charge & Electromagnetism,Two component w field (charge)
82,Two team people lattice (charge),https://jsfiddle.net/Chenopdodium/tjrpo3eg/show/,Charge & Electromagnetism,Two team people lattice (charge)
83,Vacancy Flux II (Biot Savart Law),https://jsfiddle.net/Chenopdodium/51j9n6zq/show/,Charge & Electromagnetism,BiotSavart / AmpreMaxwell (circulation picture) | Vacancy Flux II (Biot Savart Law)
84,Vibrating Diamond Structure,https://jsfiddle.net/Chenopdodium/9wov6dyc/show/,Charge & Electromagnetism,Microstructure illustration 1 | Microstructure intuition (1)
85,Wave Pump,https://jsfiddle.net/Chenopdodium/2ykon789/show/,Charge & Electromagnetism,Wave Pump
86,Wave pump,https://jsfiddle.net/Chenopdodium/7kLxmbq0/show/,Charge & Electromagnetism,Wave Pump
87,3D Refraction,https://jsfiddle.net/Chenopdodium/bn8r20mf/show/,General Relativity,3D Refraction
88,FCC Grid (with tensor),https://jsfiddle.net/Chenopdodium/2o49e03b/show/,General Relativity,FCC Grid (with tensor)
89,Fabric of spacetime,https://jsfiddle.net/Chenopdodium/wbdz3u9n/show/,General Relativity,Curvature / geometry | Fabric of spacetime
90,GRIN Optics,https://jsfiddle.net/Chenopdodium/bw691pdg/show/,General Relativity,GRIN Optics | Gradient refraction
91,"Gas, Liquid, Solid",https://jsfiddle.net/Chenopdodium/fmsjbnkx/show/,General Relativity,"Gas, Liquid, Solid | Wave Physics Lab (solid/liquid/gas, transverse/longitudinal)"
92,General Relativity,https://jsfiddle.net/Chenopdodium/n879e5dh/show/,General Relativity,General Relativity | Gravity as refraction (latest build)
93,Gravitational Potential Around Different Objects,https://jsfiddle.net/Chenopdodium/vgbtcmep/show/,General Relativity,Gravitational Potential Around Different Objects | Inertia vs gravity
94,Gravitational Waves,https://jsfiddle.net/Chenopdodium/tgaez3pf/show/,General Relativity,Gravitational Waves | Gravitational waves
95,Jello,https://jsfiddle.net/Chenopdodium/sozhbd6g/show/,General Relativity,Jello | Metric mapping
96,Jello with GR waves,https://jsfiddle.net/Chenopdodium/n453j608/show/,General Relativity,Jello with GR waves | Mass as wave energy
97,Jello with Gravity Well and Light Beam,https://jsfiddle.net/Chenopdodium/fke6Ldua/show/,General Relativity,Frequency / wave speed | Jello with Gravity Well and Light Beam
98,Jello: frequency shift,https://jsfiddle.net/Chenopdodium/9jcoL1m7/show/,General Relativity,Frequency & wavelength | Jello: frequency shift
99,Le Sage Shadowing,https://jsfiddle.net/Chenopdodium/6vu1k7p3/show/,General Relativity,Le Sage Shadowing | Push gravity intuition
100,Matter Wave in GR Field,https://jsfiddle.net/Chenopdodium/yu21mnp8/show/,General Relativity,Matter Wave in GR Field
101,Matter wave in GR (2),https://jsfiddle.net/Chenopdodium/hk4fugct/show/,General Relativity,Matter wave in GR (2)
102,Matter wave in GR (3),https://jsfiddle.net/Chenopdodium/td2arc8h/show/,General Relativity,Matter wave in GR (3)
103,Optical Analogy of GR,https://jsfiddle.net/Chenopdodium/j1bqavt4/show/,General Relativity,Optical Analogy of GR
104,Optical Analogy of GR,https://jsfiddle.net/Chenopdodium/sn3dqr12/show/,General Relativity,Optical Analogy of GR
105,Phase of 2 beams,https://jsfiddle.net/Chenopdodium/Ly3wnufb/show/,General Relativity,Phase of 2 beams
106,Refraction,https://jsfiddle.net/Chenopdodium/4pe5jx0s/show/,General Relativity,Refraction
107,Refraction,https://jsfiddle.net/Chenopdodium/yb4oj3hu/show/,General Relativity,Refraction
108,Refraction,https://jsfiddle.net/Chenopdodium/zv5gw9qk/show/,General Relativity,Refraction
109,Refraction (Snell's Law),https://jsfiddle.net/Chenopdodium/3mLt1wsa/show/,General Relativity,Refraction (Snell's Law) | Snell's law (A)
110,Refraction (Twist Tension),https://jsfiddle.net/Chenopdodium/Lwtgkp50/show/,General Relativity,Refraction (Twist Tension)
111,Refraction in jello (3D),https://jsfiddle.net/Chenopdodium/npkd47b5/show/,General Relativity,Refraction in 3D | Refraction in jello (3D)
112,Refraction with People,https://jsfiddle.net/Chenopdodium/w6oLz79x/show/,General Relativity,Refraction with People
113,River Model,https://jsfiddle.net/Chenopdodium/15tqafns/show/,General Relativity,River Model | River model intuition
114,Rubber Band,https://jsfiddle.net/Chenopdodium/fpo0uLk4/show/,General Relativity,Rubber Band
115,Scalar to Tensor,https://jsfiddle.net/Chenopdodium/umcvkbr2/show/,General Relativity,Scalar to Tensor
116,Scalar vs Tensor,https://jsfiddle.net/Chenopdodium/x09maL8z/show/,General Relativity,Scalar vs Tensor
117,Spiral wave in GR,https://jsfiddle.net/Chenopdodium/1du37r0p/show/,General Relativity,Spiral wave in GR
118,Spiral wave in a refractive gradient,https://jsfiddle.net/Chenopdodium/69m2Lofq/show/,General Relativity,Matter / potential / refraction | Spiral wave in a refractive gradient
119,Steinberg Cochran Guinan relation,https://jsfiddle.net/Chenopdodium/9rt5naL7/show/,General Relativity,Acceleration as n | Steinberg Cochran Guinan relation
120,Steinberg Energy Field,https://jsfiddle.net/Chenopdodium/cg097t3z/show/,General Relativity,Steinberg Energy Field
121,Stiffness vs Density,https://jsfiddle.net/Chenopdodium/2edwra9j/show/,General Relativity,Stiffness vs Density | Wave speed in solids
122,Wave creates longer path,https://jsfiddle.net/Chenopdodium/L0a17ewh/show/,General Relativity,Slower waves gravity | Wave creates longer path
123,1D Oscillation,https://jsfiddle.net/Chenopdodium/25n67rhm/show/,Quantum Mechanics,1D Oscillation
124,2 Charges in elastic solid (Radial),https://jsfiddle.net/Chenopdodium/1v9u4od2/show/,Quantum Mechanics,2 Charges in elastic solid (Radial)
125,2D Fourier spectrum,https://jsfiddle.net/Chenopdodium/wesxo2hq/show/,Quantum Mechanics,2D Fourier spectrum
126,3D Grid Wave Simulation,https://jsfiddle.net/Chenopdodium/87xyaLor/show/,Quantum Mechanics,3D Grid Wave Simulation
127,3D Lattice Simulation,https://jsfiddle.net/Chenopdodium/bL4nms50/show/,Quantum Mechanics,3D Lattice Simulation
128,4 Rings (Jeff),https://jsfiddle.net/Chenopdodium/jx70erm1/show/,Quantum Mechanics,4 Rings (Jeff)
129,Advanced Gas Dynamics (Extended),https://jsfiddle.net/Chenopdodium/zjkn3c27/show/,Quantum Mechanics,Advanced Gas Dynamics (Extended)
130,Aharanov Bohm: phase gradient,https://jsfiddle.net/Chenopdodium/nm23aogz/show/,Quantum Mechanics,Aharanov Bohm: phase gradient
131,Aharonov Bohm,https://jsfiddle.net/Chenopdodium/fubw0cmr/show/,Quantum Mechanics,Aharonov Bohm
132,"Aharonov Bohm ""Pump""",https://jsfiddle.net/Chenopdodium/79ed3ysc/show/,Quantum Mechanics,"Aharonov Bohm ""Pump"""
133,Aharonov Bohm (Berry Phase),https://jsfiddle.net/Chenopdodium/k2498cfg/show/,Quantum Mechanics,Aharonov Bohm (Berry Phase)
134,Aharonov Bohm (beam spread slider),https://jsfiddle.net/Chenopdodium/mv6p2L0a/show/,Quantum Mechanics,Aharonov Bohm (beam spread slider)
135,Aharonov Bohm Effect (phase shift),https://jsfiddle.net/Chenopdodium/g4ayrnc7/show/,Quantum Mechanics,Aharonov Bohm Effect (phase shift)
136,Aharonov Bohm w Phase Flow,https://jsfiddle.net/Chenopdodium/8gs7qad3/show/,Quantum Mechanics,Aharonov Bohm w Phase Flow
137,Aharonov Bohm with Phase Shift,https://jsfiddle.net/Chenopdodium/8xcdzj9t/show/,Quantum Mechanics,Aharonov Bohm with Phase Shift
138,Aharonov Bohm with interference,https://jsfiddle.net/Chenopdodium/ovLte7f9/show/,Quantum Mechanics,Aharonov Bohm with interference
139,Aharonovh Bohm with Electron Model,https://jsfiddle.net/Chenopdodium/n8gcf5so/show/,Quantum Mechanics,Aharonovh Bohm with Electron Model
140,Aharonov–Bohm effect — and what this ESU-style demo is showing,https://jsfiddle.net/Chenopdodium/snr4dtp3/show/,Quantum Mechanics,Aharonov–Bohm effect — and what this ESU-style demo is showing
141,Angular Momentum vs H,https://jsfiddle.net/Chenopdodium/86db3njr/show/,Quantum Mechanics,Meaning of h 2
142,Antenna simulation (grid),https://jsfiddle.net/Chenopdodium/q8tx691L/show/,Quantum Mechanics,Antenna simulation (grid)
143,Beach (Photons),https://jsfiddle.net/Chenopdodium/fxcpmj3b/show/,Quantum Mechanics,Photon as detection
144,"Beam Splitter (Reflection, Transmission)",https://jsfiddle.net/Chenopdodium/L6asnvx8/show/,Quantum Mechanics,"Beam Splitter (Reflection, Transmission)"
145,Bell Eberhard,https://jsfiddle.net/Chenopdodium/qbc0L6r1/show/,Quantum Mechanics,Bell Eberhard
146,Bell Experiment (3D view),https://jsfiddle.net/Chenopdodium/k97to2c3/show/,Quantum Mechanics,Bell Experiment (3D view)
147,Bell-CHSH Simulation (Faithful JS Port from Pierre Leroy),https://jsfiddle.net/Chenopdodium/oq3pvfw7/show/,Quantum Mechanics,Bell-CHSH Simulation (Faithful JS Port from Pierre Leroy)
148,Bohmian Empty Wave,https://jsfiddle.net/Chenopdodium/asg5cwpk/show/,Quantum Mechanics,Bohmian Empty Wave
149,Bohmian Mechanics: Cavities,https://jsfiddle.net/Chenopdodium/35qamvug/show/,Quantum Mechanics,Bohmian Mechanics: Cavities
150,CH-Eberhard Inequality,https://jsfiddle.net/Chenopdodium/6yqbarun/show/,Quantum Mechanics,CH-Eberhard Inequality
151,Charge as Cosserat microrotations (3D),https://jsfiddle.net/Chenopdodium/fb9572ha/show/,Quantum Mechanics,Charge as Cosserat microrotations (3D)
